config total_drives chunks_per_disk failed_disks affected_racks dl_prob
(32+6)(16+1) 32000 1000000 25 23 4.07931795165931530088939709590710737839202E-9
(32+6)(16+1) 32000 1000000 25 24 4.52990958702689031381088387802519715414355E-9
(32+6)(16+1) 32000 1000000 25 25 4.99345501263973750020676388486544865450076E-9
(32+6)(16+1) 32000 1000000 26 1 0E-49
(32+6)(16+1) 32000 1000000 26 2 0E-49
(32+6)(16+1) 32000 1000000 26 3 0E-49
(32+6)(16+1) 32000 1000000 26 4 0E-49
(32+6)(16+1) 32000 1000000 26 5 0E-49
(32+6)(16+1) 32000 1000000 26 6 0E-49
(32+6)(16+1) 32000 1000000 26 7 0E-49
(32+6)(16+1) 32000 1000000 26 8 2.308358975920750102796210617372349010382E-11
(32+6)(16+1) 32000 1000000 26 9 8.660580963830130131587962703301552186296E-11
(32+6)(16+1) 32000 1000000 26 10 1.9921236166808021740222842849955193166899E-10
(32+6)(16+1) 32000 1000000 26 11 3.6352822724716254939184568611088318474434E-10
(32+6)(16+1) 32000 1000000 26 12 5.7872829233605248356155910850121008868845E-10
(32+6)(16+1) 32000 1000000 26 13 8.4221337582408837440048893014228439713079E-10
(32+6)(16+1) 32000 1000000 26 14 1.15058980916323099794504003014994494102248E-9
(32+6)(16+1) 32000 1000000 26 15 1.50021362572937094519614368958230217936277E-9
(32+6)(16+1) 32000 1000000 26 16 1.88748067292446295661638261491553722211028E-9
(32+6)(16+1) 32000 1000000 26 17 2.30897251075726915002298749297783583606416E-9
(32+6)(16+1) 32000 1000000 26 18 2.76152175400903752138897294372993386515761E-9
(32+6)(16+1) 32000 1000000 26 19 3.24223317936002711518445052189597890878247E-9
(32+6)(16+1) 32000 1000000 26 20 3.74848121348671448497869426700474084217478E-9
(32+6)(16+1) 32000 1000000 26 21 4.27789546475662231045884053650999115348820E-9
(32+6)(16+1) 32000 1000000 26 22 4.82834085452366819167900431560489045304017E-9
(32+6)(16+1) 32000 1000000 26 23 5.39789598295857525786753580578850528444864E-9
(32+6)(16+1) 32000 1000000 26 24 5.98483168985291653951366135169402945586018E-9
(32+6)(16+1) 32000 1000000 26 25 6.58759081177647722221450403556096244555940E-9
(32+6)(16+1) 32000 1000000 26 26 7.20476959108051079731762757552109613218159E-9
(32+6)(16+1) 32000 1000000 27 1 0E-49
(32+6)(16+1) 32000 1000000 27 2 0E-49
(32+6)(16+1) 32000 1000000 27 3 0E-49
(32+6)(16+1) 32000 1000000 27 4 0E-49
(32+6)(16+1) 32000 1000000 27 5 0E-49
(32+6)(16+1) 32000 1000000 27 6 0E-49
(32+6)(16+1) 32000 1000000 27 7 0E-49
(32+6)(16+1) 32000 1000000 27 8 3.168332872021336003255242821030501215334E-11
(32+6)(16+1) 32000 1000000 27 9 1.1819754751056175098206003574126657333866E-10
(32+6)(16+1) 32000 1000000 27 10 2.7052906162759324686176089137707895860539E-10
(32+6)(16+1) 32000 1000000 27 11 4.9150194174365810577926861420882935123040E-10
(32+6)(16+1) 32000 1000000 27 12 7.7940373660730331693899242328654627735796E-10
(32+6)(16+1) 32000 1000000 27 13 1.13028326783391228789355377964848545580188E-9
(32+6)(16+1) 32000 1000000 27 14 1.53925977782254418283280724617522824584468E-9
(32+6)(16+1) 32000 1000000 27 15 2.00123028216613107135822541269080644585473E-9
(32+6)(16+1) 32000 1000000 27 16 2.51123363297778274634495675903006592133151E-9
(32+6)(16+1) 32000 1000000 27 17 3.06462408927715535943488762684364392044396E-9
(32+6)(16+1) 32000 1000000 27 18 3.65714110666412269518743987267203089783480E-9
(32+6)(16+1) 32000 1000000 27 19 4.28492385563850848954648811534634984947084E-9
(32+6)(16+1) 32000 1000000 27 20 4.94449744702412588457642279439027103935005E-9
(32+6)(16+1) 32000 1000000 27 21 5.63274578513921636373446945603404301475383E-9
(32+6)(16+1) 32000 1000000 27 22 6.34687921264667969515988222838663081544069E-9
(32+6)(16+1) 32000 1000000 27 23 7.08440131725561895502063058029468028298308E-9
(32+6)(16+1) 32000 1000000 27 24 7.84307714004311097168115682375304800991599E-9
(32+6)(16+1) 32000 1000000 27 25 8.62090383412290911006284725417625061442091E-9
(32+6)(16+1) 32000 1000000 27 26 9.41608416463137191129863003729022161544242E-9
(32+6)(16+1) 32000 1000000 27 27 1.022700288689508339623381100129166150151207E-8
(32+6)(16+1) 32000 1000000 28 1 0E-49
(32+6)(16+1) 32000 1000000 28 2 0E-49
(32+6)(16+1) 32000 1000000 28 3 0E-49
(32+6)(16+1) 32000 1000000 28 4 0E-49
(32+6)(16+1) 32000 1000000 28 5 0E-49
(32+6)(16+1) 32000 1000000 28 6 0E-49
(32+6)(16+1) 32000 1000000 28 7 0E-49
(32+6)(16+1) 32000 1000000 28 8 4.304643846253579864876980150704684141974E-11
(32+6)(16+1) 32000 1000000 28 9 1.5974125408734309122588753180947734077575E-10
(32+6)(16+1) 32000 1000000 28 10 3.6390996228240783648757759303428632531225E-10
(32+6)(16+1) 32000 1000000 28 11 6.5842507566908819742686565154042443037190E-10
(32+6)(16+1) 32000 1000000 28 12 1.04025199895088975099040522372126061519572E-9
(32+6)(16+1) 32000 1000000 28 13 1.50356374378140002019070808878443729202454E-9
(32+6)(16+1) 32000 1000000 28 14 2.04147220786451983398099339657734759827545E-9
(32+6)(16+1) 32000 1000000 28 15 2.64693774568158476792831681188076713517403E-9
(32+6)(16+1) 32000 1000000 28 16 3.31322009606655263018089947488521618137662E-9
