config total_drives failed_disks affected_racks dl_prob nines sigma failed_iters total_iters adapt
(1+0)(8+2) 32000 16 10 0.0004 nines sigma 4 10000 notadapt
(1+0)(8+2) 32000 17 10 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 18 10 0.0003 nines sigma 3 10000 notadapt
(1+0)(8+2) 32000 19 10 0.0006 nines sigma 6 10000 notadapt
(1+0)(8+2) 32000 11 11 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 12 11 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 13 11 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 14 11 0.0001 nines sigma 1 10000 notadapt
(1+0)(8+2) 32000 15 11 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 16 11 0.0001 nines sigma 1 10000 notadapt
(1+0)(8+2) 32000 17 11 0.0001 nines sigma 1 10000 notadapt
(1+0)(8+2) 32000 18 11 0.0003 nines sigma 3 10000 notadapt
(1+0)(8+2) 32000 19 11 0.0004 nines sigma 4 10000 notadapt
(1+0)(8+2) 32000 12 12 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 13 12 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 14 12 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 15 12 0.0001 nines sigma 1 10000 notadapt
(1+0)(8+2) 32000 16 12 0.0003 nines sigma 3 10000 notadapt
(1+0)(8+2) 32000 17 12 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 18 12 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 19 12 0.0004 nines sigma 4 10000 notadapt
(1+0)(8+2) 32000 13 13 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 14 13 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 15 13 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 16 13 0.0001 nines sigma 1 10000 notadapt
(1+0)(8+2) 32000 17 13 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 18 13 0.0002 nines sigma 2 10000 notadapt
(1+0)(8+2) 32000 19 13 0.0002 nines sigma 2 10000 notadapt
